Observation Number, Case 0, Case 1, Case 2, Case 3, Case 4
1,20447213,629327,507346,219025,203025
2,20262998,628554,490426,206756,201793
3,20043328,629375,449500,208823,206385
4,20285640,629196,508724,213748,201895
5,20161325,630384,554373,215582,199504
6,20127693,628898,571933,219196,204250
7,20068471,629617,607997,206205,202168
8,20316976,630026,715299,215259,198623
9,20221675,630169,550265,214087,201456
10,20260350,630627,538779,215367,199818
11,20424018,629047,490040,210620,204808
12,20162708,630239,627971,206820,198777
13,20361139,630030,462782,208942,204830
14,20098916,630119,574713,209348,205303
15,20376334,629119,500343,202125,203582
16,19992747,629945,593795,215550,202318
17,20230880,629846,797431,211072,202034
18,20050292,629066,601591,228782,201193
19,20522077,629799,542990,216732,203026
20,20223504,629975,543649,210942,203489
21,20094307,629820,601161,216743,200960
22,20317958,628791,501377,212773,202183
23,20503964,629829,591295,212181,201638
24,20365791,629732,529044,213913,199595
25,20423460,629982,652417,218825,200519
26,20077145,630131,431894,212937,199409
27,20225837,629318,516537,225520,204973
28,20362042,628862,724735,215541,200954
29,20264914,630008,546859,216934,203766
30,20118017,629382,560489,215244,200746
31,20131399,628801,607665,207336,200597
32,20203883,630113,589987,220148,200915
33,20181044,629549,479764,208867,198857
34,20218942,629898,555666,220838,204067
35,20056119,628643,647075,211871,205256
36,20257057,630148,511487,208254,199897
37,20356299,630113,613322,216127,204536
38,20020359,629932,499012,206793,202713
39,20285909,629231,504460,232815,205207
40,20138911,629028,502428,213959,202362
41,20241112,629670,482122,212153,196898
42,20368068,629746,582860,225202,202536
43,20051451,630127,501504,215404,198179
44,20485607,628545,478714,211003,206084
45,20234537,629872,555530,214133,209497
46,20336992,629343,587628,206985,201548
47,20040803,628898,581875,208610,198116
48,20295362,629361,569846,211451,201713
49,20304210,630024,614714,207523,201787
50,20146309,629981,445599,219172,201620
51,20343280,629719,550135,205271,211084
52,20291834,628708,550971,205485,200016
53,20220833,629323,484905,211492,202800
54,20028802,630558,580991,211979,204989
55,20391589,628792,491033,215271,205588
56,20287868,628835,627689,217982,202713
57,20250149,630109,527489,215431,200545
58,20163495,629307,519130,212628,203105
59,20170115,629694,477365,225606,206556
60,19959584,629649,586948,214105,200365
61,20120015,629086,505453,208819,203382
62,20412817,629348,518254,207841,198812
63,20043871,630090,539533,212846,200063
64,20253339,629718,609054,216155,202765
65,20025048,629673,528103,211180,200897
66,20208738,629364,614325,216915,207583
67,20074235,629097,603142,219826,203694
68,20177981,629789,578124,211605,198663
69,20285166,629092,547268,213820,204085
70,20247587,630160,602202,209232,203573
71,20147415,629770,695498,217450,199937
72,20128305,629898,561130,204744,203799
73,20316481,629946,765014,216867,207810
74,20429251,629018,583341,217780,204115
75,20313518,629687,560363,214204,202586
76,20168164,629475,574822,219577,200328
77,20309156,629911,557460,214101,203525
78,20212117,629430,518289,211528,199252
79,20249783,628858,599703,211426,199802
80,20292844,629250,663760,216348,195895
81,20238440,629546,435580,216464,204568
82,20103418,629564,592743,222660,199762
83,20344835,629730,553489,213372,205489
84,20300003,630561,651518,221355,203987
85,20142703,630231,637686,214225,201839
86,20136474,630233,483695,219846,198375
87,20221935,629373,565371,227867,209362
88,20483230,630055,693990,217183,205280
89,20482852,629674,512492,206229,199095
90,20322825,628894,514174,208312,211298
91,20148007,629718,496292,213300,201395
92,20336727,629745,477179,211550,201522
93,20135617,630824,454531,212217,200030
94,20380641,629486,605563,215652,202803
95,20080934,630239,487783,212414,203690
96,20226789,630533,610422,209601,206382
97,20365447,629783,510391,215347,203636
98,20061971,630067,588023,212808,208022
99,20422537,628620,536674,217195,207990
100,20385003,629067,499333,211714,206718
